srrecordid,servicerequestnum,srtype,methodreceived,createddate,srstatus,statusdate,duedate,agency,lastactivity,address,zipcode,neighborhood,councildistrict,policedistrict,geolocation.latitude,geolocation.longitude,geolocation.human_address,lastactivitydate,outcome,closedate,crimedate,crimetime,crimecode,location,description,inside_outside,weapon,post,district,neighborhood.1,premise,vri_name1,total_incidents,geometry
5004M00000gAl23QAC,20-00794111,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-11-23T21:35:12Z,Open,2020-11-23T21:40:17Z,2020-11-30T21:35:12Z,Transportation,Service Response,"4200 SHELDON AVE, Baltimore City, 21206",21206,BELAIR-EDISON,2,Northeastern,39.32870511438737,-76.56448612053975,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5644861205398, 39.3287051143874)"
5004M00000gB9aTQAS,20-00802653,TRS-48 Hour Parking/Abandoned Vehicle,Internal,2020-11-27T19:09:35Z,Open,2020-11-27T19:10:09Z,2020-12-04T19:09:35Z,Transportation,Service Response,"4414 BELAIR RD, Baltimore City, 21206",21206,ARCADIA,3,Northeastern,39.32939108714249,-76.56427501316305,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5642750131631, 39.3293910871425)"
5004M00000gB9SaQAK,20-00802640,TRS-48 Hour Parking/Abandoned Vehicle,Internal,2020-11-27T19:02:39Z,Open,2020-11-27T19:05:17Z,2020-12-04T19:02:39Z,Transportation,Service Response,"4414 BELAIR RD, Baltimore City, 21206",21206,ARCADIA,3,Northeastern,39.32939108714249,-76.56427501316305,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5642750131631, 39.3293910871425)"
5004M00000gBGVNQA4,20-00806056,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-11-30T14:42:25Z,Open,2020-11-30T14:45:17Z,2020-12-07T14:42:25Z,Transportation,Service Response,"4226 NICHOLAS AVE, Baltimore City, 21206",21206,BELAIR-EDISON,2,Northeastern,39.32877018828658,-76.56323863400019,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5632386340002, 39.3287701882866)"
5004M00000gC1U7QAK,20-00823033,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-12-07T16:18:39Z,Open,2020-12-07T16:20:08Z,2020-12-14T16:18:39Z,Transportation,Service Response,"4246 NICHOLAS AVE, Baltimore City, 21206",21206,BELAIR-EDISON,2,Northeastern,39.328385069545774,-76.56276207742322,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5627620774232, 39.3283850695458)"
5004M00000gCGvEQAW,20-00828707,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-12-09T14:01:26Z,Open,2020-12-09T14:05:17Z,2020-12-16T14:01:26Z,Transportation,Service Response,"4200 NICHOLAS AVE, BC",21206,BELAIR-EDISON,2,Northeastern,39.329176450101315,-76.5640022219477,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5640022219477, 39.3291764501013)"
5004M00000h140yQAA,20-00839947,TRS-48 Hour Parking/Abandoned Vehicle,API,2020-12-14T14:16:31Z,Open,2020-12-14T14:20:08Z,2020-12-21T14:16:31Z,Transportation,Service Response,"4209 SEIDEL AVE, Baltimore City, 21206",21206,BELAIR-EDISON,2,Northeastern,39.32929356871643,-76.56264129329179,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5626412932918, 39.3292935687164)"
5004M00000h14PAQAY,20-00840156,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-12-14T14:48:44Z,Open,2020-12-14T14:48:44Z,2020-12-21T14:48:44Z,Transportation,Service Response,"4202 SEIDEL AVE, BC",21206,FRANKFORD,2,Northeastern,39.32979082404207,-76.56299952175856,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5629995217586, 39.3297908240421)"
5004M00000h1Sh7QAE,20-00850110,BCLB-Liquor License Complaint,API,2020-12-17T11:39:00Z,New,2020-12-17T11:39:00Z,2020-12-19T11:38:59Z,Liquor Board,Service Response,"SHAMROCK LIQUORS, Baltimore City, 21206",21206,BELAIR-PARKSIDE,3,Northeastern,39.328461590072706,-76.56538137152862,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5653813715286, 39.3284615900727)"
5004M00000h1pTEQAY,20-00863165,TRS-48 Hour Parking/Abandoned Vehicle,API,2020-12-21T14:53:13Z,Open,2020-12-21T14:53:13Z,2020-12-29T14:53:13Z,Transportation,Service Response,"4200 MOST HOLY REDEEMER CEMETERY 18, Baltimore City, 21206",21206,ARCADIA,3,Northeastern,39.32997214489192,-76.56349742600291,NA,NA,NA,NA,2020-12-26,20:50:00,9S,4200 NICHOLAS AV,SHOOTING,Outside,FIREARM,422,NORTHEAST,BELAIR-EDISON,STREET,Northeastern,1,"c(-76.5634974260029, 39.3299721448919)"
