srrecordid,servicerequestnum,srtype,methodreceived,createddate,srstatus,statusdate,duedate,agency,lastactivity,address,zipcode,neighborhood,councildistrict,policedistrict,geolocation.latitude,geolocation.longitude,geolocation.human_address,lastactivitydate,outcome,closedate,crimedate,crimetime,crimecode,location,description,inside_outside,weapon,post,district,neighborhood.1,premise,total_incidents,vri_name1,geometry
5004M00000fYUr1QAG,20-00676830,SW-HGW,API,2020-10-02T14:08:21Z,Open,2020-10-02T14:08:21Z,2020-11-18T14:08:21Z,Solid Waste,Service Response,"4831 BOWLAND AVE, Baltimore City, 21206",21206,FRANKFORD,2,Northeastern,39.31903643846974,-76.54989412009944,NA,NA,NA,NA,2020-12-19,09:12:00,9S,5500 BOWLEYS LN,SHOOTING,Inside,FIREARM,443,NORTHEAST,FRANKFORD,DWELLING,1,NA,"c(-76.5498941200994, 39.3190364384697)"
5004M00000gBBwCQAW,20-00804120,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-11-28T23:34:54Z,Open,2020-11-28T23:35:06Z,2020-12-04T23:34:54Z,Transportation,Service Response,"4810 CLAYBURY AVE, Baltimore City, 21206",21206,FRANKFORD,2,Northeastern,39.3184590969429,-76.55025934449644,NA,NA,NA,NA,2020-12-19,09:12:00,9S,5500 BOWLEYS LN,SHOOTING,Inside,FIREARM,443,NORTHEAST,FRANKFORD,DWELLING,1,NA,"c(-76.5502593444964, 39.3184590969429)"
5004M00000h1sbaQAA,20-00864845,TRS-48 Hour Parking/Abandoned Vehicle,Phone,2020-12-21T20:19:44Z,Open,2020-12-21T20:20:08Z,2020-12-29T20:19:44Z,Transportation,Service Response,"4825 BOWLAND AVE, Baltimore City, 21206",21206,FRANKFORD,2,Northeastern,39.31892079966507,-76.55009628867792,NA,NA,NA,NA,2020-12-19,09:12:00,9S,5500 BOWLEYS LN,SHOOTING,Inside,FIREARM,443,NORTHEAST,FRANKFORD,DWELLING,1,NA,"c(-76.5500962886779, 39.3189207996651)"
5004M00000e0NFVQA2,20-00403165,SW-Cleaning,API,2020-07-01T18:34:16Z,Open,2020-07-01T18:34:16Z,2020-08-13T18:34:16Z,Solid Waste,Service Response,"1943 W FAYETTE ST, Baltimore City, 21223",21223,PENROSE/FAYETTE STREET OUTREACH,9,Western,39.28930706606031,-76.64815149785292,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6481514978529, 39.2893070660603)"
5004M00000e1QydQAE,20-00439523,SW-HGW,API,2020-07-13T20:18:32Z,Open,2020-07-13T20:18:32Z,2020-08-24T20:18:32Z,Solid Waste,Service Response,"1847 W FAYETTE ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.289340026499275,-76.64674950253091,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6467495025309, 39.2893400264993)"
5004M00000eeJShQAM,20-00475061,SW-Cleaning,API,2020-07-24T17:48:35Z,Open,2020-07-24T17:48:35Z,2020-09-07T17:48:35Z,Solid Waste,Service Response,"1812 W LEXINGTON ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.290705985221834,-76.64615366265777,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6461536626578, 39.2907059852218)"
5004M00000eeJV6QAM,20-00475055,SW-HGW,API,2020-07-24T17:48:18Z,Open,2020-07-24T17:48:18Z,2020-09-07T17:48:18Z,Solid Waste,Service Response,"1809 W LEXINGTON ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.290473474389415,-76.6457141027734,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6457141027734, 39.2904734743894)"
5004M00000eeJz1QAE,20-00475419,SW-HGW,API,2020-07-24T18:53:40Z,Open,2020-07-24T18:53:39Z,2020-09-07T18:53:39Z,Solid Waste,Service Response,"1829 W LEXINGTON ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.290449474819766,-76.6463366569623,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6463366569623, 39.2904494748198)"
5004M00000fY0YbQAK,20-00664680,SW-Cleaning,API,2020-09-28T13:04:14Z,Open,2020-09-28T13:04:14Z,2020-11-12T13:04:14Z,Solid Waste,Service Response,"1815 VINE ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.29000018433623,-76.64610311430565,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6461031143056, 39.2900001843362)"
5004M00000faOF5QAM,20-00726105,SW-HGW,API,2020-10-23T16:13:26Z,Open,2020-10-23T16:13:26Z,2020-12-09T16:13:26Z,Solid Waste,Service Response,"1820 W FAIRMOUNT AVE, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.2890281396905,-76.64607610202994,NA,NA,NA,NA,2020-12-19,13:29:00,1A,1900 VINE ST,HOMICIDE,Outside,FIREARM,714,WESTERN,PENROSE/FAYETTE STREET OUTREACH,VEHICLE,1,NA,"c(-76.6460761020299, 39.2890281396905)"
